,LowOrder,Periodic,PeriodicSum,AllInOne
ModelLowOrder,0.19047792312241285,8.537242238800626,1.6683801695325027,1.8825921200866447
Model Periodic,1.8856459006363382,0.17235101189992175,1.9545540394192538,2.0621463765146095
Model Periodic Sum,0.3631465973846249,0.2652025982672949,0.2273036800770357,0.31949068747961057
Model All In One,0.1154840344116665,0.220974033672663,0.31604775793114526,0.19081120912425878
Linear Interpolation,0.32386860202892825,2.5394441467454776,0.7774239008981132,0.689053680149597
Polynomial3 Interpolation,1.4854827038931393,2.3236733272424344,1.6711871398484959,1.4595735363523996
