,LowOrder,Periodic,PeriodicSum,AllInOne
ModelLowOrder,1.3027610708383015,48.80774373293294,13.561132457250991,20.42173278439734
Model Periodic,16.47114930411413,0.8509341596095412,14.258075610330893,15.521526154731344
Model Periodic Sum,4.088925394016194,1.7475861357971942,1.4344010232899995,6.751222334385526
Model All In One,0.7481378290123292,1.358179589559835,2.390386590576163,1.4098329420009295
Linear Interpolation,2.3003511761860747,14.642363759774641,5.128054345472097,4.936650640128687
Polynomial3 Interpolation,16.345276897422888,18.660904697577756,16.33225225035735,13.921933853040844
